sp,page_no_book,eq_no_book,,eq_type,eq_ty_n,level,state,region,eq_typ,eq,eq_transformed,equation,"V = f(D=1,H=10))",a,b,c,d,n,r_squared,remarks,eq_extra,dia_>,dia_<
Acrocarpus fraxinifolius,16,36,1-036,G,9,multi_district,Assam,"North Cachar. The general and local volume equations were also used for Nowgong and Karbi Anglong and for Ailanthus altissima/grandis, Anthocephalus cadamba and Sterculia alata in the aforesaid areas.",G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(0.3654-0.0000009136/((D^2)*H))*((D^2)*H) ,3.654,0.00003654,0,-9.14E-07,,,,converted diameter from cm to m,,,
Acrocarpus fraxinifolius,16,36,1-036,L,7,multi_district,Assam,"North Cachar. The general and local volume equations were also used for Nowgong and Karbi Anglong and for Ailanthus altissima/grandis, Anthocephalus cadamba and Sterculia alata in the aforesaid areas.",L7,V/(D^2)=a+b/(D^2),(a+b/(D^2))*(D^2),(9.7-0.0941/(D^2))*(D^2) ,9.606,9.7,-0.0941,,,,,converted diameter from cm to m,,,
Adina cordifolia,17,37,1-037,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,18,38,1-038,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,18,39,1-039,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,18,40,1-040,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,19,41,1-041,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,19,42,1-042,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,19,43,1-043,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,19,44,1-044,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,20,45,1-045,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,20,46,1-046,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,20,47,1-047,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,20,48,1-048,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,20,49,1-049,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,20,50,1-050,,,,,,,,,,,,,,,,,,,,
Adina oligocephala,21,51,1-051,L,5,multi_district,Assam,Assam survey (15 districts),L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.08687+2.72192*D)^2 ,6.943,-0.08687,2.72192,,,27,0.98554,,,,
Aesculus indica,21,52,1-052,L,6,multi_district,Himachal Pradesh,"Kulu, Seraj and Kotgarh - Kulu and Shimla districts",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.220191+3.923711*D-1.117475*sqrt(D))^2 ,9.159,0.220191,3.923711,-1.117475,,134,0.9588,,,,
Ailanthus grandis,22,53,1-053,,,,,,,,,,,,,,,,,,,,
Ailanthus grandis,22,54,1-054,,,,,,,,,,,,,,,,,,,,
Ailanthus grandis,22,55,1-055,,,,,,,,,,,,,,,,,,,,
Ailanthus grandis,22,56,1-056,,,,,,,,,,,,,,,,,,,,
Albizia lebbeck,23,57,1-057,,,,,,,,,,,,,,,,,,,,
Albizia lebbeck,23,58,1-058,,,,,,,,,,,,,,,,,,,,
Albizia lebbeck,23,59,1-059,,,,,,,,,,,,,,,,,,,,
Albizia lebbeck,23,60,1-060,,,,,,,,,,,,,,,,,,,,
Albizia lucida,24,61,1-061,,,,,,,,,,,,,,,,,,,,
Albizia procera,25,62,1-062,,,,,,,,,,,,,,,,,,,,
Albizia procera,25,63,1-063,,,,,,,,,,,,,,,,,,,,
Albizia procera,25,64,1-064,,,,,,,,,,,,,,,,,,,,
Albizia stipulata,25,65,1-065,,,,,,,,,,,,,,,,,,,,
Albizia species,26,66,1-066,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,27,67,1-067,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,27,68,1-068,,,,,,,,,,,,,,,,,,,,
Alnus species,28,69,1-069,,,,,,,,,,,,,,,,,,,,
Alnus species,28,70,1-070,,,,,,,,,,,,,,,,,,,,
Altingia excelsa,29,71,1-071,,,,,,,,,,,,,,,,,,,,
Altingia excelsa,29,72,1-072,,,,,,,,,,,,,,,,,,,,
Amoora wallichii,30,73,1-073,,,,,,,,,,,,,,,,,,,,
Amoora wallichii,30,74,1-074,,,,,,,,,,,,,,,,,,,,
Amoora wallichii,30,75,1-075,,,,,,,,,,,,,,,,,,,,
Amoora wallichii,30,76,1-076,,,,,,,,,,,,,,,,,,,,
Amoora wallichii,30,77,1-077,,,,,,,,,,,,,,,,,,,,
Amoora wallichii,30,78,1-078,,,,,,,,,,,,,,,,,,,,
Amoora rohituka,31,79,1-079,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,32,80,1-080,G,1,multi_district,Andhra Pradesh,"East Godavari, West Godavari, Vishakhapatnam and Khamam districts. The general volume equations and local volume equations were also used for Xylia xylocarpa, Terminalia tomentosa for this area of A.P. and the general volume equation was also used for West Bengal.",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.023+0.306*(D^2)*H,3.083,0.023,0.306,,,,,,,30,
Anogeissus latifolia,32,80,1-080,G,9,multi_district,Andhra Pradesh,"East Godavari, West Godavari, Vishakhapatnam and Khamam districts. The general volume equations and local volume equations were also used for Xylia xylocarpa, Terminalia tomentosa for this area of A.P. and the general volume equation was also used for West Bengal.",G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(0.34+0.001/((D^2)*H))*((D^2)*H),3.401,0.34,0,0.001,,229,0.923,,,,30
Anogeissus latifolia,32,80,1-080,L,10,multi_district,Andhra Pradesh,"East Godavari, West Godavari, Vishakhapatnam and Khamam districts. The general volume equations and local volume equations were also used for Xylia xylocarpa, Terminalia tomentosa for this area of A.P. and the general volume equation was also used for West Bengal.",L10,log(V)=a+b*log(D),exp(a+b*log(D)),exp(2.3424 +2.4970*log(D)),10.406,2.3424,2.497,,,,,,,,30
Anogeissus latifolia,32,80,1-080,L,10,multi_district,Andhra Pradesh,"East Godavari, West Godavari, Vishakhapatnam and Khamam districts. The general volume equations and local volume equations were also used for Xylia xylocarpa, Terminalia tomentosa for this area of A.P. and the general volume equation was also used for West Bengal.",L10,log(V)=a+b*log(D),exp(a+b*log(D)),exp(1.9902 +2.2111*log(D)),7.317,1.9902,2.2111,,,,,,,30,
Anogeissus latifolia,32,81,1-081,L,3,district,Andhra Pradesh,East Godavari,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,.345341-4.684510*D+22.3767*(D^2)-19.1675*(D^3),-1.13,0.345341,-4.68451,22.3767,-19.1675,85,0.94867,,,,
Anogeissus latifolia,32,82,1-082,G,1,forest_division,Andhra Pradesh,Mahboob Nagar Forest division. The general volume equation was also used for Lannea coromandelica. ,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.002659 +0.24233*((D^2)*H),2.426,0.002659,0.24233,,,,,,,,
Anogeissus latifolia,32,82,1-082,L,3,forest_division,Andhra Pradesh,Mahboob Nagar Forest division. The general volume equation was also used for Lannea coromandelica. ,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.055883 +5.603009*(D^3),5.659,0.055883,0,0,5.603009,533,0.81,,,,
Anogeissus latifolia,32,83,1-083,G,1,district,Andhra Pradesh,Adilabad district,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,4.101,-0.0069,0.4108,,,,,,,,
Anogeissus latifolia,32,83,1-083,L,3,district,Andhra Pradesh,Adilabad district,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.034725 -0.78412*D +7.1873*(D^2) + 6.9495*(D^3),13.387,0.034725,-0.78412,7.1873,6.9495,375,0.9762,,,,
Anogeissus latifolia,32,84,1-084,G,1,multi_district,Bihar,"South West Bihar, Chapra, Kodarma, Giridih, Munger, Shahbad, Gaya, Daltonganj, Garwa, Katihar, Hazaribagh, Ranchi Forest division. The general volume equation was also used for the Southern parts. The general and local volume equations were also used forTerminalia chebula, Diospyros melanoxylon, Lannea coromandelica. The local volume equation was also used for the rest of the species for this area and also used for Ranchi Forest division and Singhbum district. ",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.020760 +0.447658*((D^2)*H),4.497,0.02076,0.447658,,,,,,,,
Anogeissus latifolia,32,84,1-084,L,5,multi_district,Bihar,"South West Bihar, Chapra, Kodarma, Giridih, Munger, Shahbad, Gaya, Daltonganj, Garwa, Katihar, Hazaribagh, Ranchi Forest division. The general volume equation was also used for the Southern parts. The general and local volume equations were also used forTerminalia chebula, Diospyros melanoxylon, Lannea coromandelica. The local volume equation was also used for the rest of the species for this area and also used for Ranchi Forest division and Singhbum district. ",L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.07738 +2.592167*D)^2,6.324,-0.07738,2.592167,,,,,,,,
Anogeissus latifolia,33,85,1-085,G,9,multi_district,Bihar,"Santhal Parganas and part of Bhagalpur district and Ranchi district. fte local volume equation was also used for Singhbum district of Bihar, Purulia, Bankura and Midnapur districts of West Bengal.",G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(0.4511+0.00161/((D^2)*H))*((D^2)*H),4.513,0.4511,0,0.00161,,44,0.9135,,,,
Anogeissus latifolia,33,85,1-085,L,2,multi_district,Bihar,"Santhal Parganas and part of Bhagalpur district and Ranchi district. fte local volume equation was also used for Singhbum district of Bihar, Purulia, Bankura and Midnapur districts of West Bengal.",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.028653 -0.97687*D+11.024*(D^2),10.076,0.028653,-0.97687,11.024,,54,0.9883,,,,
Anogeissus latifolia,33,86,1-086,L,7,district,Bihar,West Champaran,L7,V/(D^2)=a+b/(D^2),(a+b/(D^2))*(D^2),(-0.01777/(D^2)+5.07688)*(D^2),5.059,5.07688,-0.01777,,,,,,,,
Anogeissus latifolia,33,87,1-087,G,9,multi_district,Gujarat,"Surat circle-Dangs, Surat, Bulsar and Bharuch districts. The general volume equation was also used for Khargone, Khandwa, Dewas, Jhabua and Dhar districts of M.P. For Anogeissus pendula, Southern and Eastern parts of Rajasthan. Southern Region of U.P. Agra, Etawah, Jalaun, Jhansi, Lalitpur, Hamirpur, Banda, Allahabad, Mirzapur and Varanasi districts. The general and local volume equations were also used for Mewasi Forest division. The local volume equation was also used for Dhulia, Nasik, Thane and Raigarh districts of Maharashtra and also for Dadra and Nagar Haveli. ",G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(-0.012484/((D^2)*H) +0.424503 - 0.009419*((D^2)*H))*((D^2)*H),3.291,0.424503,-0.009419,-0.012484,,59,0.29767,,,,
Anogeissus latifolia,33,87,1-087,L,6,multi_district,Gujarat,"Surat circle-Dangs, Surat, Bulsar and Bharuch districts. The general volume equation was also used for Khargone, Khandwa, Dewas, Jhabua and Dhar districts of M.P. For Anogeissus pendula, Southern and Eastern parts of Rajasthan. Southern Region of U.P. Agra, Etawah, Jalaun, Jhansi, Lalitpur, Hamirpur, Banda, Allahabad, Mirzapur and Varanasi districts. The general and local volume equations were also used for Mewasi Forest division. The local volume equation was also used for Dhulia, Nasik, Thane and Raigarh districts of Maharashtra and also for Dadra and Nagar Haveli. ",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.357373 +2.430449*D +0.794626*sqrt(D))^2,12.834,0.357373,2.430449,0.79462,,122,0.97912,,,,
Anogeissus latifolia,34,88,1-088,L,9,multi_district,Himachal Pradesh,"Chir belt Area-Bilaspur, Hamirpur, Kangra, Mandi Solan and Una districts ",L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(-0.011053/(D^2)+0.087418/D +2.545701+4.766918*D)*(D^2),7.389,2.545701,-0.011053,0.087418,4.766918,289,,,,,
Anogeissus latifolia,34,89,1-089,L,2,multi_district,Karnataka,"Chikmagalur, Hassan and Shimoga districts. It was also used for Terminalia tomentosa in these districts and for Cassia fistula in the areas of Chikmagalur, Hassan districts, Kerala and Tamilnadu.",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.289 -2.653*D +11.771*(D^2),9.407,0.289,-2.653,11.771,,,,,,,
Anogeissus latifolia,34,90,1-090,L,11,multi_district,Karnataka,"Chitradurga, Tumkur, Kolar, Bangalore and Bellary.",L11,sqrt(V)=a+b*D+c*(D^2),(a+b*D+c*(D^2))^2,(-0.004378 +4.575823*(D^2))^2,20.898,-0.004378,0,4.575823,,,,,,,
Anogeissus latifolia,34,91,1-091,L,3,district,Karnataka,Kodagu district.,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,#NAME?,11.019,-0.06868,1.56245,-2.91615,12.44122,,,,,,
Anogeissus latifolia,35,92,1-092,G,9,multi_district,Madhya Pradesh,"Balaghat, Seoni and Mandla districts. The general volume equation was also used for Raigarh and Bilaspur districts.",G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(0.47929+0.016615/((D^2)*H))*((D^2)*H),4.81,0.47929,0,0.016615,,133,,,,,
Anogeissus latifolia,35,92,1-092,L,9,multi_district,Madhya Pradesh,"Balaghat, Seoni and Mandla districts. The general volume equation was also used for Raigarh and Bilaspur districts.",L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(0.11242/(D^2)-2.13817/D +16.4304-7.23272*D)*(D^2),7.172,16.4304,0.11242,-2.13817,-7.23272,447,0.60116,,,,
Anogeissus latifolia,35,93,1-093,G,1,catchment,Madhya Pradesh,Narayanpur catchment. Bastar district.,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.00203 +0.38646*((D^2)*H),3.867,0.00203,0.38646,,,78,0.94028,,,,
Anogeissus latifolia,35,93,1-093,L,2,catchment,Madhya Pradesh,Narayanpur catchment. Bastar district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.13053 -1.94625*D+11.67213*(D^2),9.856,0.13053,-1.94625,11.67213,,416,0.961225,,,,
Anogeissus latifolia,35,94,1-094,G,7,multi_district,Madhya Pradesh,Rajnandgaon and Durg districts,G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(-3.977276 +1.404908*log(D)+1.841234*log(H)),0.118,-3.977276,1.404908,1.841234,,25,0.989899,,,,
Anogeissus latifolia,35,94,1-094,L,9,multi_district,Madhya Pradesh,Rajnandgaon and Durg districts,L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(0.05793/(D^2)-1.48829/D +14.27687-8.64437*D)*(D^2),4.202,14.27687,0.05793,-1.48829,-8.64437,938,0.45472,,,,
Anogeissus latifolia,35,95,1-095,L,6,district,Madhya Pradesh,Raigarh district.,L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.31277+5.08978*D-1.85236*sqrt(D))^2,12.604,0.31277,5.08978,-1.85236,,175,0.95623,,,,
Anogeissus latifolia,35,96,1-096,L,11,district,Madhya Pradesh,Bilaspur district.,L11,sqrt(V)=a+b*D+c*(D^2),(a+b*D+c*(D^2))^2,(-0.02958/(D^2)+8.05003)*(D^2),8.02,8.05003,0,-0.02958,,332,0.48413,,,,
Anogeissus latifolia,35,97,1-097,L,6,district,Madhya Pradesh,Raipur district.,L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.28802+5.12791*D-1.87116*sqrt(D))^2,12.565,0.28802,5.12791,-1.87116,,251,0.9231,,,,
Anogeissus latifolia,35,98,1-098,G,7,catchment,Maharashtra,Ballarshah catchment Chandrapur,G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(-0.544476+2.096749*log(D)+0.883803*log(H)),1.404,-0.544476,2.096749,0.883803,,70,0.962,,,,
Anogeissus latifolia,35,98,1-098,L,12,catchment,Maharashtra,Ballarshah catchment Chandrapur,L12,V/D=a+b/D+c*D+d*(D^2),(a+b/D+c*D+d*(D^2))*D,(-2.704089+0.145667/D+17.4656*D-10.4903*(D^2))*D,4.417,-2.704089,0.145667,17.4656,-10.4903,118,0.932,,,,
Anogeissus latifolia,35,99,1-099,G,1,catchment,Maharashtra,Wadsa catchment (Chandrapur). The general volume equation was also used for Sondad catchment- Bhandara district.,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.00931+0.38507*(D^2)*H,3.86,0.00931,0.38507,,,30,0.9278,,,,
Anogeissus latifolia,35,99,1-099,L,12,catchment,Maharashtra,Wadsa catchment (Chandrapur),L12,V/D=a+b/D+c*D+d*(D^2),(a+b/D+c*D+d*(D^2))*D,(-0.036762-0.006854/D+4.5577*D+5.25567*(D^2))*D,9.77,-0.036762,-0.006854,4.5577,5.25567,112,0.193,,,,
Anogeissus latifolia,36,100,1-100,L,1,catchment,Maharashtra,Sondad catchment- Bhandara district.,L1,V=a+b*D^2,a+b*D^2,#NAME?,7.89,-0.061856,7.952136,,,135,0.9093,,,,
Anogeissus latifolia,36,101,1-101,G,1,forest_division,Maharashtra,Melghat Forest Division,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,4.612,-0.001064,0.461272,,,167,0.0226,,,,
Anogeissus latifolia,36,101,1-101,L,2,forest_division,Maharashtra,Melghat Forest Division,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.030502-1.105937*D+12.261268*D^2,11.186,0.030502,-1.105937,12.261268,,165,0.6666,,,,
Anogeissus latifolia,36,102,1-102,G,2,multi_district,Rajasthan,"Udaipur Forest Division, Southern and Eastern parts of Rajasthan.",G2,V=a+b*D+c*(D^2)*H,a+b*D+c*(D^2)*H,#NAME?,3.829,-0.016909,0.252906,0.359305,,183,0.94217,,,,
Anogeissus latifolia,36,103,1-103,L,1,multi_district,Rajasthan,Southern and Eastern parts,L1,V=a+b*D^2,a+b*D^2,#NAME?,4.41,-0.01662,4.4268,,,183,0.94217,,,,
Anogeissus latifolia,36,104,1-104,G,7,catchment,Orissa,"Phulbani catchment (Phulbani, Ganjam and Kalahandi districts). The general volume equation was used for Tarai Region of U.P.- Saharanpur, Bijnore, Moradabad, Rampur, Bareilly, Pilibhit, Kheri, Bahraich, Gonda, Basti, Gorakhpur, Deoria disticts, hill region of U.P.-Almora, Nainital, Pithoragarh, part of Chamoli district, Dehra Dun, Garhwal and Tehri districts.",G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(-0.305765+2.042219*log(D)+0.788251*log(H)),1.62,-0.305765,2.042219,0.788251,,748,0.5608,,,,
Anogeissus latifolia,36,104,1-104,L,8,catchment,Orissa,"Phulbani catchment (Phulbani, Ganjam and Kalahandi districts). The general volume equation was used for Tarai Region of U.P.- Saharanpur, Bijnore, Moradabad, Rampur, Bareilly, Pilibhit, Kheri, Bahraich, Gonda, Basti, Gorakhpur, Deoria disticts, hill region of U.P.-Almora, Nainital, Pithoragarh, part of Chamoli district, Dehra Dun, Garhwal and Tehri districts.",L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(9.656667-1.020606/D+0.045731/(D^2))*(D^2),8.682,9.656667,-1.020606,0.045731,,748,0.5608,,,,
Anogeissus latifolia,36,105,1-105,G,4,district,Orissa,Koraput district.,G4,V=a+b*D+c*(D^2)*H+d*((D^2)*H)^2,a+b*D+c*(D^2)*H+d*((D^2)*H)^2,#NAME?,2.77,-0.009211,0.500013,-0.022211,,76,0.98833,,,,
Anogeissus latifolia,36,105,1-105,L,3,district,Orissa,Koraput district.,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.13928-2.87067*D+20.22404*D^2-13.80572*D^3 ,3.687,0.13928,-2.87067,20.22404,-13.80572,76,0.97193,,,,
Anogeissus latifolia,37,106,1-106,L,6,multi_district,Uttar Pradesh,"Tarai Region-Saharanpur, Bijnore, Moradabad, Rampur, Bareilly, Pilibhit, Kheri, Bahraich, Gonda, Basti, Gorakhpur and Deoria districts.",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.2122+4.947663*D-1.59290*sqrt(D))^2,12.723,0.2122,4.947663,-1.5929,,76,0.9822,,,,
Anogeissus latifolia,37,107,1-107,L,6,multi_district,Uttar Pradesh,"Hill region : Almora, Nainital, Pithoragarh and part of Chamoli districts, Dehra Dun, Garhwal and Tehri districts, Lansdowne and part of Yamuna Forest division.",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.46976+5.99849*D-2.60729*sqrt(D))^2,14.907,0.46976,5.99849,-2.60729,,64,,,,,
Anogeissus latifolia,37,108,1-108,G,8,multi_district,Uttar Pradesh,"Lansdowne, part of Yamuna, Tehri and Garhwal Forest divisions.",G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.47929+0.01662*(D^2)*H)*((D^2)*H),6.455,0.47929,0.01662,,,133,,,,,
Anogeissus pendula,38,109,1-109,,,,,,,,,,,,,,,,,,,,
Anogeissus species,38,110,1-110,,,,,,,,,,,,,,,,,,,,
Anogeissus species,38,111,1-111,,,,,,,,,,,,,,,,,,,,
Anogeissus species,38,112,1-112,,,,,,,,,,,,,,,,,,,,
Anogeissus species,38,113,1-113,,,,,,,,,,,,,,,,,,,,
Anthocephalus cadamba,39,114,1-114,,,,,,,,,,,,,,,,,,,,
Artocarpus chaplasha,40,115,1-115,,,,,,,,,,,,,,,,,,,,
Artocarpus chaplasha,40,116,1-116,,,,,,,,,,,,,,,,,,,,
Artocarpus chaplasha,40,117,1-117,,,,,,,,,,,,,,,,,,,,
Artocarpus chaplasha,40,118,1-118,,,,,,,,,,,,,,,,,,,,
Artocarpus chaplasha,40,119,1-119,,,,,,,,,,,,,,,,,,,,
Artocarpus chaplasha,40,120,1-120,,,,,,,,,,,,,,,,,,,,
Artocarpus chaplasha,40,121,1-121,,,,,,,,,,,,,,,,,,,,
Artocarpus hirsuta,41,122,1-122,,,,,,,,,,,,,,,,,,,,
Artocarpus hirsuta,41,123,1-123,,,,,,,,,,,,,,,,,,,,
Artocarpus lakoocha,42,124,1-124,,,,,,,,,,,,,,,,,,,,
Artocarpus lakoocha,42,125,1-125,,,,,,,,,,,,,,,,,,,,
Bauhinia species,42,126,1-126,,,,,,,,,,,,,,,,,,,,
Beilschmiedia roxburghiana,43,127,1-127,,,,,,,,,,,,,,,,,,,,
Beilschemedia species,43,128,1-128,,,,,,,,,,,,,,,,,,,,
Betula alnoides,44,129,1-129,,,,,,,,,,,,,,,,,,,,
Betula utilis,44,130,1-130,,,,,,,,,,,,,,,,,,,,
Betula utilis,45,131,1-131,,,,,,,,,,,,,,,,,,,,
Betula utilis,45,132,1-132,,,,,,,,,,,,,,,,,,,,
Betula species,45,133,1-133,,,,,,,,,,,,,,,,,,,,
Betula species,46,134,1-134,,,,,,,,,,,,,,,,,,,,
Betula species,46,135,1-135,,,,,,,,,,,,,,,,,,,,
Bischofia javanica,46,136,1-136,,,,,,,,,,,,,,,,,,,,
Bischofia javanica,46,137,1-137,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,47,138,1-138,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,47,139,1-139,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,48,140,1-140,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,48,141,1-141,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,48,142,1-142,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,48,143,1-143,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,48,144,1-144,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,48,145,1-145,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,49,146,1-146,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,49,147,1-147,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,49,148,1-148,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,49,149,1-149,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,49,150,1-150,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,50,151,1-151,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,50,152,1-152,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,51,153,1-153,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,51,154,1-154,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,51,155,1-155,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,51,156,1-156,,,,,,,,,,,,,,,,,,,,
